Vertex,Cross Layer Degree Centrality
T,0.016666668
b3,0.013333334
y1,0.01
g5,0.01
r11,0.01
g1,0.01
b2,0.01
y2,0.01
r8,0.006666667
r1,0.006666667
r7,0.006666667
g9,0.006666667
r10,0.006666667
g6,0.006666667
g2,0.0033333334
g3,0.0033333334
y4,0.0033333334
b7,0.0033333334
b1,0.0033333334
r3,0.0033333334
g7,0.0033333334
b8,0.0033333334
b9,0.0033333334
r9,0.0033333334
g8,0.0033333334
r6,0.0033333334
y5,0.0033333334
D,0.0
g10,0.0
b5,0.0
r2,0.0
b4,0.0
y3,0.0
r5,0.0
b6,0.0
r4,0.0
P,0.0
g4,0.0
